Date,Open,High,Low,Close,Volume,Adj Close,Change
2014-07-23,1985.32,1989.23,1982.44,1987.01,2869720000,1987.01,0.001754448
2014-07-22,1975.65,1986.24,1975.65,1983.53,2890480000,1983.53,0.005016138
2014-07-21,1976.93,1976.93,1965.77,1973.63,2611160000,1973.63,-0.002320268
2014-07-18,1961.54,1979.91,1960.82,1978.22,3106060000,1978.22,0.010264948
2014-07-17,1979.75,1981.8,1955.59,1958.12,3381680000,1958.12,-0.011834051
2014-07-16,1976.35,1983.94,1975.67,1981.57,3390950000,1981.57,0.004201127
2014-07-15,1977.36,1982.52,1965.34,1973.28,3328740000,1973.28,-0.001932123
2014-07-14,1969.86,1979.85,1969.86,1977.1,2744920000,1977.1,0.004843538
2014-07-11,1965.76,1968.67,1959.63,1967.57,2684630000,1967.57,0.001470977
2014-07-10,1966.67,1969.84,1952.86,1964.68,3165690000,1964.68,-0.004131121
2014-07-09,1965.1,1974.15,1965.1,1972.83,2858800000,1972.83,0.00464427
2014-07-08,1976.39,1976.39,1959.46,1963.71,3302430000,1963.71,-0.00704877
2014-07-07,1984.22,1984.22,1974.88,1977.65,2681260000,1977.65,-0.003923564
2014-07-03,1975.88,1985.59,1975.88,1985.44,1998090000,1985.44,0.005479535
2014-07-02,1973.06,1976.67,1972.58,1974.62,2851480000,1974.62,0.000658788
2014-07-01,1962.29,1978.58,1962.29,1973.32,3188240000,1973.32,0.006677788
2014-06-30,1960.79,1964.24,1958.22,1960.23,3037350000,1960.23,-0.000372267
2014-06-27,1956.56,1961.47,1952.18,1960.96,4290590000,1960.96,0.001910874
2014-06-26,1959.89,1959.89,1944.69,1957.22,2778840000,1957.22,-0.001178854
2014-06-25,1949.27,1960.83,1947.49,1959.53,3106710000,1959.53,0.004897486
2014-06-24,1961.97,1968.17,1948.34,1949.98,3089700000,1949.98,-0.006435308
2014-06-23,1962.92,1963.74,1958.89,1962.61,2717630000,1962.61,-0.000132459
2014-06-20,1960.45,1963.91,1959.17,1962.87,4336240000,1962.87,0.001730051
2014-06-19,1957.5,1959.87,1952.26,1959.48,2952150000,1959.48,0.001277479
2014-06-18,1942.73,1957.74,1939.29,1956.98,3065220000,1956.98,0.007718886
2014-06-17,1937.15,1943.69,1933.55,1941.99,2971260000,1941.99,0.002172589
2014-06-16,1934.84,1941.15,1930.91,1937.78,2926130000,1937.78,0.000836708
2014-06-13,1930.8,1937.3,1927.69,1936.16,2598230000,1936.16,0.003134536
2014-06-12,1943.35,1943.35,1925.78,1930.11,3040480000,1930.11,-0.007088878
2014-06-11,1949.37,1949.37,1940.08,1943.89,2710620000,1943.89,-0.003537029
2014-06-10,1950.34,1950.86,1944.64,1950.79,2702360000,1950.79,-0.000245994
2014-06-09,1948.97,1955.55,1947.16,1951.27,2812180000,1951.27,0.000938731
2014-06-06,1942.41,1949.44,1942.41,1949.44,2864300000,1949.44,0.004627769
2014-06-05,1928.52,1941.74,1922.93,1940.46,3113270000,1940.46,0.006525302
2014-06-04,1923.06,1928.63,1918.6,1927.88,2793920000,1927.88,0.001891656
2014-06-03,1923.07,1925.07,1918.79,1924.24,2867180000,1924.24,-0.000379227
2014-06-02,1923.87,1925.88,1915.98,1924.97,2509020000,1924.97,0.000727813
2014-05-30,1920.33,1924.03,1916.64,1923.57,3263490000,1923.57,0.001843721
2014-05-29,1910.6,1920.03,1909.82,1920.03,2709050000,1920.03,0.00536711
2014-05-28,1911.77,1914.46,1907.3,1909.78,2976450000,1909.78,-0.001114069
2014-05-27,1902.01,1912.28,1902.01,1911.91,2911020000,1911.91,0.005987803
2014-05-23,1893.32,1901.26,1893.32,1900.53,2396280000,1900.53,0.004248371
2014-05-22,1888.19,1896.33,1885.39,1892.49,2759800000,1892.49,0.002362251
2014-05-21,1873.34,1888.8,1873.34,1888.03,2777140000,1888.03,0.00811606
2014-05-20,1884.88,1884.88,1868.14,1872.83,3007700000,1872.83,-0.006498398
2014-05-19,1876.66,1886,1872.42,1885.08,2664250000,1885.08,0.003844802
2014-05-16,1871.19,1878.28,1864.82,1877.86,3173650000,1877.86,0.00374696
2014-05-15,1888.16,1888.16,1862.36,1870.85,3552640000,1870.85,-0.009361779
2014-05-14,1897.13,1897.13,1885.77,1888.53,2822060000,1888.53,-0.004701046
2014-05-13,1896.75,1902.17,1896.06,1897.45,2915680000,1897.45,0.000421796
2014-05-12,1880.03,1897.13,1880.03,1896.65,3005740000,1896.65,0.009672714
2014-05-09,1875.27,1878.57,1867.02,1878.48,3025020000,1878.48,0.001519489
2014-05-08,1877.39,1889.07,1870.05,1875.63,3393420000,1875.63,-0.001373648
2014-05-07,1868.53,1878.83,1859.79,1878.21,3632950000,1878.21,0.005616474
2014-05-06,1883.69,1883.69,1867.72,1867.72,3327260000,1867.72,-0.008988359
2014-05-05,1879.45,1885.51,1866.77,1884.66,2733730000,1884.66,0.001871206
2014-05-02,1885.3,1891.33,1878.5,1881.14,3159560000,1881.14,-0.001348424
2014-05-01,1884.39,1888.59,1878.04,1883.68,3416740000,1883.68,-0.000143316
2014-04-30,1877.1,1885.2,1872.69,1883.95,3779230000,1883.95,0.00299202
2014-04-29,1870.78,1880.6,1870.78,1878.33,3647820000,1878.33,0.004760809
2014-04-28,1865,1877.01,1850.61,1869.43,4034680000,1869.43,0.00323602
2014-04-25,1877.72,1877.72,1859.7,1863.4,3213020000,1863.4,-0.008096412
2014-04-24,1881.97,1884.06,1870.24,1878.61,3191830000,1878.61,0.001716976
2014-04-23,1879.32,1879.75,1873.91,1875.39,3085720000,1875.39,-0.002213296
2014-04-22,1872.57,1884.89,1872.57,1879.55,3215440000,1879.55,0.004092121
2014-04-21,1865.79,1871.89,1863.18,1871.89,2642500000,1871.89,0.003775103
2014-04-17,1861.73,1869.63,1856.72,1864.85,3341430000,1864.85,0.001363898
2014-04-16,1846.01,1862.31,1846.01,1862.31,3155080000,1862.31,0.010488448
2014-04-15,1831.45,1844.02,1816.29,1842.98,3736440000,1842.98,0.00675731
2014-04-14,1818.18,1834.19,1815.8,1830.61,3111540000,1830.61,0.008217262
2014-04-11,1830.65,1835.07,1814.36,1815.69,3743460000,1815.69,-0.009486765
2014-04-10,1872.28,1872.53,1830.87,1833.08,3758780000,1833.08,-0.020884744
2014-04-09,1852.64,1872.43,1852.38,1872.18,3308650000,1872.18,0.010918162
2014-04-08,1845.48,1854.95,1837.49,1851.96,3721450000,1851.96,0.003750596
2014-04-07,1863.92,1864.04,1841.48,1845.04,3801540000,1845.04,-0.010750151
2014-04-04,1890.25,1897.28,1863.26,1865.09,3583750000,1865.09,-0.01253726
2014-04-03,1891.43,1893.8,1882.65,1888.77,3055600000,1888.77,-0.001126448
2014-04-02,1886.61,1893.17,1883.79,1890.9,3131660000,1890.9,0.002853324
2014-04-01,1873.96,1885.84,1873.96,1885.52,3336190000,1885.52,0.00703932
2014-03-31,1859.16,1875.18,1859.16,1872.34,3274300000,1872.34,0.007924118
2014-03-28,1850.07,1866.63,1850.07,1857.62,2955520000,1857.62,0.004640246
2014-03-27,1852.11,1855.55,1842.11,1849.04,3733430000,1849.04,-0.001900073
2014-03-26,1867.09,1875.92,1852.56,1852.56,3480850000,1852.56,-0.007000354
2014-03-25,1859.48,1871.87,1855.96,1865.62,3200560000,1865.62,0.004403911
